destinationProvince	mainCity	destinationDistrict
Sulawesi Selatan	Kab. Bone	Mare
Bali	Kab. Tabanan	Marga
Jawa Barat	Kab. Bandung	Margaasih
Jawa Barat	Bandung	Margacinta
Jawa Tengah	Kota Tegal	Margadana
Jawa Barat	Kab. Bandung	Margahayu
Jawa Tengah	Kab. Tegal	Margasari
Lampung	Kab. Lampung Timur	Margatiga
Jawa Tengah	Kab. Bojonegoro	Margomulyo
Jawa Tengah	Kab. Pati	Margorejo
Jawa Tengah	Kab. Pati	Margoyoso
Kalimantan Tengah	Kab. Katingan	Marikit
Sulawesi Selatan	Kab. Soppeng	Mario Riawa
Sulawesi Selatan	Kab. Soppeng	Mario Riwawo
Gorontalo	Kab. Pahuwalo	Marisa
Sulawesi Selatan	Kota Makassar	Mariso
Sulawesi Selatan	Kab. Sindenreng Rappang	Maritengngae
Jambi	Kab. Muaro Jambi	Maro Sebo
Jambi	Kab. Batang Hari	Maro Sebo Ilir
Jambi	Kab. Batang Hari	Maro Sebo Ulu
Jawa Timur	Kab. Probolinggo	Maron
Sulawesi Selatan	Kab. Maros	Maros
Sulawesi Selatan	Kab. Maros	Maros Baru
Sulawesi Selatan	Kab. Maros	Maros Utara
Riau	Kota Pekanbaru	Marpoyan Damai
Sumatera Selatan	Kab. Ogan Komering Ulu Timur	Martapura
Kalimantan Selatan	Kab. Banjar	Martapura
Sulawesi Selatan	Kab. Maros	Marusu
Nusa Tenggara Barat	Kab. Lombok Timur	Mas Bagik
Jawa Timur	Kab. Sumenep	Masalembu
Sulawesi Selatan	Kab. Luwu Utara	Masamba
Sulawesi Selatan	Kab. Tana Toraja	Masanda
Jawa Tengah	Kab. Sragen	Masaran
Papua	Kab. Waropen	Masirei
Papua	Kab. Manokwari	Masni
Sulawesi Barat	Kab. Polewali Mandar	Matakali
Kalimantan Barat	Kab. Ketapang	Matan Hilir Selatan
Kalimantan Barat	Kab. Ketapang	Matan Hilir Utara
Aceh	Kab. Aceh Utara	Matang Kuli
Sulawesi Barat	Kab. Polewali Mandar	Matangnga
Nusa Tenggara Barat	Kota Mataram	Mataram
Lampung	Kab. Lampung Timur	Mataram Baru
Kalimantan Selatan	Kab. Banjar	Mataraman
Nusa Tenggara Timur	Kab. Sumba Timur	Matawai Lapau
Jawa Tengah	Kab. Karang Anyar	Matesih
DKI Jakarta	Kota Administrasi Jakarta Timur	Matraman
Sulawesi Selatan	Kab. Pinrang	Mattiro Bulu
Sulawesi Selatan	Kab. Pinrang	Mattirosompe
Sumatera Barat	Kab. Agam	Matur
Banten	Kab. Tangerang	Mauk
Nusa Tenggara Timur	Kab. Ende	Maukaro
Nusa Tenggara Timur	Kab. Sikka	Maumere
Nusa Tenggara Timur	Kab. Nagekeo	Mauponggo
Sulawesi Tenggara	Kab. Buton & Buton Utara	Mawasangka
Sulawesi Tenggara	Kab. Buton & Buton Utara	Mawasangka Timur
Nusa Tenggara Timur	Kota Kupang	Mawlapa
Jawa Timur	Kab. Jember	Mayang
Jawa Timur	Kota Probolinggo	Mayangan
Jawa Tengah	Kab. Jepara	Mayong
Nusa Tenggara Timur	Kab. Nagekeo	Mbay
Nusa Tenggara Timur	Kab. Manggarai	Mborong
Sumatera Utara	Kota Medan	Medan
Sumatera Utara	Kota Medan	Medan Amplas
Sumatera Utara	Kota Medan	Medan Area
Sumatera Utara	Kota Medan	Medan Barat
Sumatera Utara	Kota Medan	Medan Baru
Sumatera Utara	Kota Medan	Medan Belawan
Sumatera Utara	Kota Medan	Medan Deli
Sumatera Utara	Kota Medan	Medan Denai
Sumatera Utara	Kota Medan	Medan Helvetia
Sumatera Utara	Kota Medan	Medan Johor
Sumatera Utara	Kota Medan	Medan Kota
Sumatera Utara	Kota Medan	Medan Labuhan
Sumatera Utara	Kota Medan	Medan Maimun
Sumatera Utara	Kota Medan	Medan Marelan
Sumatera Utara	Kota Medan	Medan Perjuangan
Sumatera Utara	Kota Medan	Medan Petisah
Sumatera Utara	Kota Medan	Medan Polonia
Jawa Barat	Kota Bekasi	Medan Satria
Sumatera Utara	Kota Medan	Medan Selayang
Sumatera Utara	Kota Medan	Medan Sunggal
Sumatera Utara	Kota Medan	Medan Tembung
Sumatera Utara	Kota Medan	Medan Timur
Sumatera Utara	Kota Medan	Medan Tuntungan
Sumatera Utara	Kab. Batubara	Medang Deras
Riau	Kota Dumai	Medang Kampai
Jawa Timur	Kab. Jombang	Megaluh
Jawa Barat	Kab. Bogor	Megamendung
Sumatera Selatan	Kab. Musi Rawas	Megang Sakti
Nusa Tenggara Timur	Kab. Sikka	Mego
Jawa Timur	Kab. Madiun	Mejayan
Jawa Tengah	Kab. Kudus	Mejobo
Sumatera Selatan	Kab. Ogan Komering Ulu Selatan	Mekakau Ilir
Kalimantan Selatan	Kab. Barito Kuala	Mekar Sari
Jawa Barat	Kab. Garut	Mekarmukti
Kalimantan Timur	Kab. Kutai Barat	Melak
Bali	Kab. Jembrana	Melaya
Kalimantan Barat	Kab. Sanggau	Meliau
Lampung	Kab. Lampung Timur	Melinting
Sulawesi Utara	Kab. Kepulauan Talaud	Melonguane
Kepulauan Bangka Belitung	Kab. Belitung	Membalong
Kalimantan Barat	Kab. Pontianak	Mempawah
Kalimantan Barat	Kab. Landak	Mempawah Hulu
Jambi	Kab. Tanjung Jabung Timur	Mendahara
Kalimantan Tengah	Kab. Katingan	Mendawai
Kepulauan Bangka Belitung	Kab. Bangka	Mendo Barat
Bali	Kab. Jembrana	Mendoyo
Banten	Kab. Pandeglang	Menes
Jawa Timur	Kab.Gresik	Menganti
Lampung	Kab. Tulang Bawang	Menggala
Sulawesi Selatan	Kab. Tana Toraja	Mengkendek
Bali	Kab. Badung	Menguwi
Kalimantan Barat	Kab. Landak	Menjalin
Papua	Kab. Nabire	Menou
Kalimantan Timur	Kab. Malinau	Mentarang
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentawa Baru
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentaya Hilir Selatan
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentaya Hilir Utara
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentaya Hulu
Kalimantan Barat	Kab. Kapuas Hulu	Mentebah
DKI Jakarta	Kota Administrasi Jakarta Pusat	Menteng
Kepulauan Bangka Belitung	Kab. Bangka Barat	Mentok
Sulawesi Tengah	Kab. Morowali	Menui Kepulauan
Kalimantan Barat	Kab. Melawi	Menukung
Kalimantan Barat	Kab. Landak	Menyuke
Banten	Kota Cilegon	Merak
Jawa Timur	Kab. Tuban	Merakurak
Kepulauan Riau	Kab. Karimun	Meral
Sumatera Utara	Kab. Asahan	Meranti
Kalimantan Barat	Kab. Landak	Meranti
Riau	Kab. Meranti	Meranti
Sumatera Selatan	Kab. Lahat	Merapi
Papua	Kab. Merauke	Merauke
Kepulauan Bangka Belitung	Kab. Bangka	Merawang
Riau	Kab. Meranti	Merbau
Lampung	Kab. Lampung Selatan	Merbau Mataram
Papua Barat	Kab. Teluk Bintuni	Merdey
Sumatera Utara	Kab. Karo	Merek
D.I. Yogyakarta	Kota Yogyakarta	Mergangsan
Jambi	Kab. Tanjung Jabung Barat	Merlung
Jambi	Kab. Batang Hari	Mersam
Jawa Tengah	Kab. Magelang	MERTOYUDAN
Aceh	Kab. Aceh Besar	Mesjid Raya
Sulawesi Barat	Kab. Mamasa	Messawa
Jambi	Kab. Muaro Jambi	Mestong
Sumatera Selatan	Kab. Ogan Komering Ilir	Mesuji
Lampung	Kab. Tulang Bawang	Mesuji
Lampung	Kota Metro	Metro
Lampung	Kota Metro	Metro Barat
Lampung	Kab. Lampung Timur	Metro Kibang
Lampung	Kota Metro	Metro Pusat
Lampung	Kota Metro	Metro Selatan
Lampung	Kota Metro	Metro Timur
Lampung	Kota Metro	Metro Utara
Aceh	Kab. Aceh Selatan	Meukek
Aceh	Kab. Aceh Barat	Meulaboh
Aceh	Kab. Pidie Jaya	Meurah Dua
Aceh	Kab. Aceh Utara	Meurah Mulia
Aceh	Kota Banda Aceh	Meuraksa
Aceh	Kab. Pidie Jaya	Meureudu
Kepulauan Riau	Kab. Natuna	Midai
Jawa Tengah	Kota Semarang	Mijen
Jawa Tengah	Kab. Demak	Mijen
Aceh	Kab. Pidie	Mila
Papua	Kab. Mimika	Mimika Barat
Papua	Kab. Mimika	Mimika Barat Jauh
Papua	Kab. Mimika	Mimika Barat Tengah
Papua	Kab. Mimika	Mimika Baru
Papua	Kab. Mimika	Mimika Timur
Papua	Kab. Mimika	Mimika Timur Jauh
Papua	Kab. Mimika	Mimika Timur Tengah
Riau	Kab. Siak	Minas
Sulawesi Selatan	Kab. Pangkajene Kepulauan	Minasa Te'ne
Papua	Kab. Boven Digoel	Mindiptana
D.I. Yogyakarta	Kab. Sleman	Minggir
Papua	Kab. Manokwari	Minyambouw
Nusa Tenggara Timur	Kab. Timor Tengah Utara	Miomafo Barat
Nusa Tenggara Timur	Kab. Timor Tengah Utara	Miomafo Timur
Jawa Tengah	Kab. Sragen	Miri
Jawa Tengah	Kab. Kebumen	Mirit
Papua Barat	Kab. Raja Ampat	Misool
Papua Barat	Kab. Raja Ampat	Misool Timur Selatan
Jawa Timur	Kab Situbondo	Mlandingan
Jawa Timur	Kab. Ponorogo	Mlarak
D.I. Yogyakarta	Kab. Sleman	Mlati
Jawa Tengah	Kab. Jepara	Mlonggo
Sulawesi Utara	Kab. Bolaang Mongondow	Modayag
Jawa Timur	Kab. Lamongan	Modo
Sulawesi Utara	Kab. Minahasa Selatan	Modoinding
Jawa Timur	Kab. Bangkalan	Modung
Jawa Tengah	Kab. Pemalang	Moga
Jawa Timur	Kab. Kediri	Mojo
Jawa Timur	Kab. Jombang	Mojoagung
Jawa Timur	Kab. Mojokerto	Mojoanyar
Jawa Tengah	Kab. Karang Anyar	Mojogedang
Jawa Timur	Kab. Mojokerto	Mojokerto
Jawa Tengah	Kab. Sukoharjo	Mojolaban / Palur
Jawa Timur	Kota Kediri	Mojoroto
Jawa Timur	Kab. Mojokerto	Mojosari
Jawa Tengah	Kab. Boyolali	Mojosongo
Jawa Tengah	Kab. Wonosobo	Mojotengah
Jawa Timur	Kab. Jombang	Mojowarno
Maluku	Kab. Maluku Tenggara Barat	Mola
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Mollo Selatan
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Mollo Utara
Sulawesi Tengah	Kab. Buol	Momunu
Sulawesi Selatan	Kab. Maros	Moncongloe
Jawa Tengah	Kab. Sragen	Mondokan
Nusa Tenggara Barat	Kab. Bima	Monta
Kalimantan Selatan	Kab. Barito Utara	Montalat
Aceh	Kab. Aceh Besar	Montasik
Kalimantan Barat	Kab. Bengkayang	Monterado
Jawa Timur	Kab. Tuban	Montong
Nusa Tenggara Barat	Kab. Lombok Timur	Montong Gading
Gorontalo	Kab. Gorontalo	Mootilango
Papua Barat	Kab. Sorong	Moraid
Sulawesi Tenggara	Kab. Konawe Utara/ Selatan	Moramo
Sulawesi Tengah	Kab. Morowali	Mori Atas
Kepulauan Riau	Kab. Karimun	Moro
Maluku Utara	Kab. Halmahera Utara	Morotai Selatan
Maluku Utara	Kab. Halmahera Utara	Morotai Selatan Barat
Maluku Utara	Kab. Halmahera Utara	Morotai Utara
Papua Barat	Kab. Teluk Bintuni	Moskona Selatan
Papua Barat	Kab. Teluk Bintuni	Moskona Utara
Papua Barat	Kab. Sorong Selatan	Moswaren
Maluku Utara	Kota Ternate	Moti
Sulawesi Utara	Kab. Minahasa Selatan	Motoling
Sulawesi Tengah	Kab. Parigi Moutong	Moutong
Sulawesi Tenggara	Kab. Kolaka	Mowewe
Nusa Tenggara Barat	Kab. Sumbawa	Moyohilir
Nusa Tenggara Barat	Kab. Sumbawa	Moyohulu
D.I. Yogyakarta	Kab. Sleman	Moyudan
Nusa Tenggara Barat	Kota Bima	Mpunda
Jawa Tengah	Kab. Demak	Mranggen
Jawa Tengah	Kab. Purbalingga	Mrebet
Sumatera Utara	Kab. Tapanuli Utara	Muara
Kalimantan Timur	Kab. Kutai Timur	Muara Ancalong
Kalimantan Timur	Kab. Kutai Kartanegara	Muara Badak
Bengkulu	Kota Bengkulu	Muara Bangkahulu
Sumatera Utara	Kab. Mandailing Natal	Muara Batang Gadis
Aceh	Kab. Aceh Utara	Muara Batu
Sumatera Selatan	Kab. Muara Enim	Muara Belikan
Sumatera Selatan	Kab. Musi Rawas	Muara Beliti
Sumatera Selatan	Kab. Musi Rawas	Muara Beliti Baru
Kalimantan Timur	Kab. Kutai Timur	Muara Bengkal
Jambi	Kab. Batang Hari	Muara Bulian
Jambi	Kab. Bungo	Muara Bungo
Aceh	Kota Lhokseumawe	Muara Dua
Sumatera Selatan	Kab. Muara Enim	Muara Enim
Jawa Barat	Kab. Bekasi	Muara Gembong
Kalimantan Selatan	Kab. Tabalong	Muara Harus
Kalimantan Timur	Kab. Kutai Kartanegara	Muara Jawa
Kalimantan Timur	Kab. Kutai Kartanegara	Muara Kaman
Sumatera Selatan	Kab. Musi Rawas	Muara Kelingi
Kalimantan Timur	Kab. Paser	Muara Komam
Sumatera Selatan	Kab. Ogan Ilir	Muara Kuang
Sumatera Selatan	Kab. Musi Rawas	Muara Lakitan
Kalimantan Timur	Kab. Kutai Barat	Muara Lawa
Jambi	Kab. Sarolangun	Muara Limun
Kalimantan Timur	Kab. Kutai Kartanegara	Muara Muntai
Sumatera Selatan	Kab. Banyuasin	Muara Padang
Kalimantan Timur	Kab. Kutai Barat	Muara Pahu
Kalimantan Barat	Kab. Ketapang	Muara Pawan
Sumatera Selatan	Kab. Empat Lawang	Muara Pinang
Sumatera Selatan	Kab. Musi Rawas	Muara Rupit
Jambi	Kab. Tanjung Jabung Timur	Muara sabak
Kalimantan Timur	Kab. Paser	Muara Samu
Jambi	Kab. Merangin	Muara Siau
Sumatera Utara	Kab. Mandailing Natal	Muara Sipongi
Lampung	Kab. Lampung Utara	Muara Sungkai
Papua	Kota Jayapura	Muara Tam
Jambi	Kab. Tebo	Muara Tebo
Sumatera Selatan	Kab. Banyuasin	Muara Telang
Jambi	Kab. Batang Hari	Muara Tembesi
Kalimantan Selatan	Kab. Barito Utara	Muara Teweh
Aceh	Kab. Pidie	Muara Tiga
Kalimantan Selatan	Kab. Tabalong	Muara Uya
Kalimantan Timur	Kab. Kutai Timur	Muara Wahau
Kalimantan Timur	Kab. Kutai Kartanegara	Muara Wis
Sumatera Selatan	Kab. Ogan Komering Ulu Selatan	Muaradua
Sumatera Selatan	Kab. Ogan Komering Ulu Selatan	Muaradua Kisam
Sumatera Barat	Kab. Sijunjung	Muaro Sijunjung
Jambi	Kab. Bungo	Muko Muko Batin VII
Kalimantan Barat	Kab. Sanggau	Mukok
Bengkulu	Kab. Muko-Muko	Muko-muko
Bengkulu	Kab. Muko-Muko	Muko-Muko Selatan
Bengkulu	Kab. Muko-Muko	Muko-Muko Utara
Sumatera Selatan	Kab. Lahat	Mulak Ulu
Papua	Kab. Puncak Jaya	Mulia
Jawa Timur	Kota Surabaya	Mulyorejo
Jawa Timur	Kab. Jember	Mumbulsari
Banten	Kab. Lebak	Muncang
Jawa Timur	Kab. Banyuwangi	Muncar
Jawa Barat	Kab. Cirebon	Mundu
Sumatera Barat	Kab. Lima Puluh Kota	Mungka
Jawa Tengah	Kab. Magelang	Mungkid
Banten	Kab. Pandeglang	Munjul
Jawa Timur	Kab. Trenggalek	Munjungan
Sumatera Utara	Kab. Karo	Munte
Jawa Tengah	Kab. Magelang	Muntilan
Kalimantan Tengah	Kab. Gunung Mas	Munuhing
Sulawesi Tenggara	Kab. Kota Bau-Bau	Murhum
Kalimantan Selatan	Kab. Murung Raya	Murung
Kalimantan Selatan	Kab. Tabalong	Murung Pudak
Jawa Barat	Kota Bekasi	Mustika Jaya
Jawa Tengah	Kab. Boyolali	Musuk
Aceh	Kab. Pidie	Mutiara
Aceh	Kab. Pidie	Mutiara Timur
Papua	Kab. Merauke	Muting
Sumatera Utara	Kab. Labuhan Batu	Na IX-X
Papua	Kab. Nabire	Nabire
Papua	Kab. Nabire	Nabire barat
Nusa Tenggara Timur	Kab. Lembata	Nagawutung
Jawa Barat	Kab. Sukabumi	Nagrak
Jawa Barat	Kab. Bandung	Nagreg
Sumatera Utara	Kab. Samosir	Nainggolan
Jawa Tengah	Kab. Jepara	Nalumsari
Papua	Kab. Mappi	Nambioman Bapai
Maluku	Kab. Buru	Namlea
Sumatera Utara	Kab. Deli Serdang	Namo Rambe
Sumatera Barat	Kab. Padang Pariaman	Nan Sabaris
Kalimantan Tengah	Kab. Lamandau	Nanga Bulik
Kalimantan Barat	Kab. Sekadau	Nanga Mahap
Nusa Tenggara Timur	Kab. Ende	Nanga Panda
Kalimantan Barat	Kab. Melawi	Nanga Pinoh
Kalimantan Barat	Kab. Sekadau	Nanga Taman
Kalimantan Barat	Kab. Ketapang	Nanga Tayap
Nusa Tenggara Timur	Kab. Nagekeo	Nangaroro
Sulawesi Selatan	Kab. Tana Toraja Utara	Nanggala
Sumatera Barat	Kota Padang	Nanggalo
D.I. Yogyakarta	Kab. Kulon Progo	Nanggulan
Jawa Barat	Kab. Bogor	Nanggung
Sulawesi Utara	Kab. Kepulauan Talaud	Nanusa
Sulawesi Tenggara	Kab. Muna	Napabalano
Bengkulu	Kab. Bengkulu Utara	Napal Putih
Papua	Kab. Nabire	Napan
Jawa Barat	Kab. Cianjur	Naringgul
Nusa Tenggara Barat	Kab. Lombok Barat	Narmada
Bengkulu	Kab. Kaur	Nasal
Sumatera Utara	Kab. Toba Samosir	Nassau
Sumatera Utara	Kab. Mandailing Natal	Natal
Lampung	Kab. Lampung Selatan	Natar
Jawa Timur	Kab. Pacitan	Nawangan
Nusa Tenggara Timur	Kab. Ende	Ndona
Nusa Tenggara Timur	Kab. Ende	Ndona Timur
Bali	Kab. Jembrana	Negara
Lampung	Kab. Way Kanan	Negeri Agung
Lampung	Kab. Way Kanan	Negeri Batin
Lampung	Kab. Way Kanan	Negeri Besar
Lampung	Kab. Pesawaran	Negeri Katon
Banten	Kota Tangerang	Neglasari
Nusa Tenggara Timur	Kab. Kupang	Nekemese
Nusa Tenggara Timur	Kab. Timor Tengah Utara	Neomuti
Kalimantan Barat	Kab. Landak	Ngabang
Jawa Tengah	Kab. Magelang	Ngablak
Nusa Tenggara Timur	Kab. Ngada	Ngada Bawa
Jawa Timur	Kab. Kediri	Ngadiluwih
Jawa Tengah	Kab. Temanggung	Ngadirejo
Jawa Timur	Kab. Pacitan	Ngadirojo
Jawa Tengah	Kab. Wonogiri	Ngadirojo
D.I. Yogyakarta	Kab. Sleman	Ngaglik
Jawa Timur	Kab. Malang	Ngajum
Jawa Tengah	Kota Semarang	Ngaliyan
Jawa Tengah	Kab. Bojonegoro	Ngambon
Jawa Tengah	Kab. Kendal	Ngampel
D.I. Yogyakarta	Kota Yogyakarta	Ngampilan
Jawa Barat	Kab. Bandung Barat	Ngamprah
Jawa Timur	Kab. Kediri	Ngancar
Jawa Timur	Kab. Nganjuk	Nganjuk
Jawa Timur	Kab. Malang	Ngantang
Jawa Timur	Kab. Tulungagung	Ngantru
Sulawesi Tenggara	Kab. Kolaka Utara	Ngapa
Jawa Tengah	Kab. Karang Anyar	Ngargoyoso
Jawa Timur	Kab. Magetan	Ngariboyo
Jawa Tengah	Kab. Grobogan	Ngaringan
Jawa Tengah	Kab. Bojonegoro	Ngasem
Jawa Tengah	Kab. Blora	Ngawen
Jawa Tengah	Kab. Klaten	Ngawen
D.I. Yogyakarta	Kab. Gunung Kidul	Ngawen
Jawa Timur	Kab. Ngawi	Ngawi
Jawa Timur	Kab. Ponorogo	Ngebel
Jawa Tengah	Kab. Boyolali	Ngemplak
D.I. Yogyakarta	Kab. Sleman	Ngemplak
Jawa Timur	Kab. Nganjuk	Ngetos
Nusa Tenggara Timur	Kab. Sumba Timur	Nggaha Oriangu
Maluku Utara	Kab. Kepulauan Sula	Nggele
Jawa Timur	Kab. Lamongan	Ngimbang
Jawa Timur	Kab. Blitar	Nglegok
D.I. Yogyakarta	Kab. Gunung Kidul	Nglipar
Jawa Tengah	Kab. Magelang	Ngluwar
Jawa Timur	Kab. Nganjuk	Ngluyu
Jawa Tengah	Kab. Purworejo	Ngombol
Jawa Timur	Kab. Jombang	Ngoro
Jawa Timur	Kab. Mojokerto	Ngoro
Jawa Tengah	Kab. Bojonegoro	Ngraho
Jawa Timur	Kab. Ngawi	Ngrambe
Jawa Tengah	Kab. Sragen	Ngrampal
Jawa Timur	Kab. Ponorogo	Ngrayun
Jawa Timur	Kab. Nganjuk	Ngronggot
Sumatera Barat	Kab. Pasuruan	Nguling
Jawa Timur	Kab. Magetan	Nguntoronadi
Jawa Tengah	Kab. Wonogiri	Nguntoronadi
Jawa Timur	Kab. Tulungagung	Ngunut
Bali	Kab. Badung	Ngurah Rai
Jawa Timur	Kab. Jombang	Ngusikan
Jawa Tengah	Kab. Sukoharjo	Nguter
Aceh	Kab. Aceh Utara	Nibong
Sumatera Selatan	Kab. Musi Rawas	Nibung
Papua	Kab. Jayapura	Nimbokrang
Papua	Kab. Jayapura	Nimboran
Papua	Kab. Yahukimo	Ninia
Jambi	Kab. Tanjung Jabung Timur	Nipah Panjang
Maluku	Kab. Maluku Tenggara Barat	Nirunmas
Aceh	Kab. Aceh Utara	Nisam
Nusa Tenggara Timur	Kab. Sikka	Nitta
Jawa Tengah	Kab. Boyolali	Nogosari
Jawa Timur	Kab. Sumenep	Nonggunong
Sumatera Barat	Kab. Pasuruan	Nongko Jajar
Kepulauan Riau	Kota Batam	Nongsa/ Kabil/ Lagoi
Sulawesi Barat	Kab. Mamasa	Nosu
Kalimantan Barat	Kab. Sanggau	Noyan
Sulawesi Utara	Kab. Bolaang Mongondow	Nuangan
Nusa Tenggara Timur	Kab. Lembata	Nubatukan
Sulawesi Selatan	Kab. Luwu Timur	Nuha
Papua	Kab. Biak Numfor	Numfor Barat
Papua	Kab. Biak Numfor	Numfor Timur
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Nunkolo
Kalimantan Timur	Kab. Nunukan	Nunukan
Aceh	Kab. Aceh Timur	Nurussalam
Bali	Kab. Badung	Nusa Dua
Maluku	Kab. Maluku Tengah	Nusa Laut
Sulawesi Utara	Kab. Kepulauan Sangihe	Nusa Tabukan
Jawa Barat	Kab. Kuningan	Nusaherang
Maluku	Kota Ambon	Nusaniwe
Bali	Kab. Klungkung	Nusapenida
Jawa Tengah	Kab. Cilacap	Nusawungu
Jawa Barat	Kab. Sukabumi	Nyalindung
Kalimantan Timur	Kab. Kutai Barat	Nyuwatan
Maluku Utara	Kota Tidore	Oba
Maluku Utara	Kota Tidore	Oba Utara
Papua	Kab. Mappi	Obaa
Papua	Kab. Nabire	Obano
Maluku Utara	Kab. Halmahera Selatan	Obi
Maluku Utara	Kab. Halmahera Selatan	Obi Selatan
Nusa Tenggara Timur	Kota Kupang	Oebobo
Nusa Tenggara Timur	Kab. Kupang	Oelamasi
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Oenino
Sulawesi Tengah	Kab. Toli-Toli	Ogo Deide
Papua	Kab. Merauke	Okaba
Papua	Kab. Pegunungan Bintang	Okbibab
Papua	Kab. Pegunungan Bintang	Oksibil
Jawa Timur	Kab. Sampang	Omben
Nusa Tenggara Timur	Kab. Lembata	Omesuri
Sumatera Utara	Kab. Humbang Hasudutan	Onan Ganjang
Sumatera Utara	Kab. Samosir	Onan Runggu
Papua	Kab. Manokwari	Oransbari
Jawa Timur	Kota Surabaya	Pabean Cantikan
Jawa Barat	Kab. Cirebon	Pabedilan
Jawa Tengah	Kab. Semarang	Pabelan
Nusa Tenggara Timur	Kab. Sumba Timur	Paberiwai
Jawa Barat	Kab. Sukabumi	Pabuaran
Jawa Barat	Kab. Cirebon	Pabuaran
Banten	Kab. Serang	Pabuaran
Jawa Barat	Kab. Subang	Pabuaran
Jawa Timur	Kab. Nganjuk	Pace
Jawa Barat	Kab. Bandung	Pacet
Jawa Timur	Kab. Mojokerto	Pacet
Jawa Barat	Kab. Cianjur	Pacet
Jawa Timur	Kab. Lamongan	Paciran
Jawa Timur	Kab. Pacitan	Pacitan
Jawa Barat	Kab.Ciamis	Padaherang
Jawa Barat	Kab. Tasikmalaya	Padakembang
Jawa Barat	Kab. Bandung Barat	Padalarang
Jawa Tengah	Kab. Purbalingga	Padamara
Sumatera Barat	Kota Padang	Padang
Jawa Timur	Kab. Lumajang	Padang
Sumatera Barat	Kab. Solok Selatan	Padang Aro
Sumatera Barat	Kota Padang	Padang Barat
Kalimantan Selatan	Kab. Hulu Sungai Selatan	Padang Batung
Sumatera Utara	Kab. Padang Lawas Utara	Padang Bolak
Sumatera Utara	Kab. Tapanuli Selatan	Padang Bolak
Sumatera Utara	Kab. Padang Lawas Utara	Padang Bolak Julu
Sumatera Utara	Kab. Tapanuli Selatan	Padang Bolak Julu
Lampung	Kab. Pesawaran	Padang Cermin
Sumatera Barat	Kab. Tanah Datar	Padang Ganting
Sumatera Utara	Kab. Tebing Tinggi	Padang Hilir
Sumatera Utara	Kab. Tebing Tinggi	Padang Hulu
Bengkulu	Kab. Bengkulu Utara	Padang Jaya
Sumatera Barat	Kota Padang Panjang	Padang Panjang
Sumatera Barat	Kota Padang Panjang	Padang Panjang Barat
Sumatera Barat	Kota Padang Panjang	Padang Panjang Timur
Lampung	Kab. Lampung Tengah	Padang Ratu
Sumatera Barat	Kab. Padang Pariaman	Padang Sago
Sumatera Barat	Kota Padang	Padang Selatan
Sumatera Utara	Kota Padang Sidempuan	Padang Sidempuan
Sumatera Utara	Kab. Tapanuli Selatan	Padang Sidempuan Barat
Sumatera Utara	Kota Padang Sidempuan	Padang Sidempuan Batu Nadua
Sumatera Utara	Kota Padang Sidempuan	Padang Sidempuan Hutaimbaru
Sumatera Utara	Kota Padang Sidempuan	Padang Sidempuan Selatan
Sumatera Utara	Kota Padang Sidempuan	Padang Sidempuan Tenggara
Sumatera Utara	Kab. Tapanuli Selatan	Padang Sidempuan Timur
Sumatera Utara	Kota Padang Sidempuan	Padang Sidempuan Utara
Aceh	Kab. Pidie	Padang Tiji
Sumatera Barat	Kota Padang	Padang Timur
Sumatera Utara	Kab. Langkat	Padang Tualang
Bengkulu	Kab. Rejang Lebong	Padang Ulak Tanding
Sumatera Barat	Kota Padang	Padang Utara
Jawa Tengah	Kab. Bojonegoro	Padangan
Banten	Kab. Serang	Padarincang
Jawa Timur	Kab. Ngawi	Padas
DKI Jakarta	Kota Administrasi Jakarta Utara	Pademangan
Jawa Timur	Kab. Pamekasan	Pademawu
Jawa Tengah	Kab. Kebumen	Padureso
Nusa Tenggara Timur	Kab. Sikka	Paga
Jawa Barat	Kab. Subang	Pagaden
Sumatera Barat	Kab. Kepulauan Mentawai	Pagai Selatan
Sumatera Barat	Kab. Kepulauan Mentawai	Pagai Utara
Jawa Timur	Kab. Malang	Pagak
Sumatera Selatan	Kota Pagar Alam	Pagar Alam
Sumatera Selatan	Kota Pagar Alam	Pagar Alam Selatan
Sumatera Selatan	Kota Pagar Alam	Pagar Alam Utara
Bengkulu	Kab. Bengkulu Utara	Pagar Jati
Sumatera Utara	Kab. Deli Serdang	Pagar Marbau
Sumatera Utara	Kab. Tapanuli Utara	Pagaran
Banten	Kab. Tangerang	Pagedangan
Lampung	Kab. Tanggamus	Pagelaran
Banten	Kab. Pandeglang	Pagelaran
Jawa Timur	Kab. Malang	Pagelaran
Jawa Barat	Kab. Cianjur	Pagelaran
Jawa Tengah	Kab. Banjarnegara	Pagentan
Jawa Barat	Kab. Tasikmalaya	Pagerageung
Jawa Tengah	Kab. Tegal	Pagerbarang
Jawa Tengah	Kab. Kendal	Pagerruyung
